(-54.266793,0.000000)
(-98.528302,166.071831)
(164.811804,-405.764082)
(49.313123,-125.171332)
(32.634811,-76.394533)
(26.099712,-54.309304)
(22.457286,-41.108936)
(19.943869,-32.088304)
(17.942509,-25.433309)
(16.193051,-20.286962)
(14.574086,-16.188731)
(13.026771,-12.867729)
(11.523500,-10.153209)
(10.053540,-7.931223)
(8.615733,-6.121736)
(7.214438,-4.665714)
(5.857203,-3.517607)
(4.553259,-2.640502)
(3.312603,-2.003223)
(2.145222,-1.578391)
(1.060643,-1.341190)
(0.067517,-1.268480)
(-0.826595,-1.338408)
(-1.615492,-1.529992)
(-2.294494,-1.823076)
(-2.860466,-2.198114)
(-3.311990,-2.636334)
(-3.649301,-3.119726)
(-3.874257,-3.631137)
(-3.990377,-4.154385)
(-4.002677,-4.674439)
(-3.917594,-5.177445)
(-3.742813,-5.650911)
(-3.487184,-6.083774)
(-3.160476,-6.466529)
(-2.773229,-6.791243)
(-2.336507,-7.051645)
(-1.861763,-7.243151)
(-1.360608,-7.362770)
(-0.844555,-7.409240)
(-0.324911,-7.382804)
(0.187502,-7.285271)
(0.682457,-7.119834)
(1.150539,-6.890977)
(1.583262,-6.604329)
(1.973169,-6.266480)
(2.313960,-5.884959)
(2.600598,-5.467805)
(2.829310,-5.023614)
(2.997600,-4.561239)
(3.104374,-4.089624)
(3.149745,-3.617642)
(3.135121,-3.153876)
(3.063051,-2.706526)
(2.937168,-2.283172)
(2.762168,-1.890732)
(2.543488,-1.535245)
(2.287328,-1.221842)
(2.000474,-0.954695)
(1.690147,-0.736853)
(1.363740,-0.570301)
(1.028845,-0.455903)
(0.692946,-0.393524)
(0.363311,-0.381827)
(0.046862,-0.418592)
(-0.249937,-0.500632)
(-0.521272,-0.623935)
(-0.761984,-0.783765)
(-0.967788,-0.974739)
(-1.135195,-1.191021)
(-1.261637,-1.426407)
(-1.345533,-1.674498)
(-1.386192,-1.928797)
(-1.383927,-2.182861)
(-1.339931,-2.430495)
(-1.256246,-2.665740)
(-1.135752,-2.883124)
(-0.982002,-3.077740)
(-0.799221,-3.245252)
(-0.592086,-3.382056)
(-0.365798,-3.485326)
(-0.125721,-3.552996)
(0.122516,-3.583899)
(0.373295,-3.577689)
(0.621031,-3.534779)
(0.860401,-3.456454)
(1.086314,-3.344708)
(1.294067,-3.202257)
(1.479576,-3.032409)
(1.639210,-2.839009)
(1.770019,-2.626374)
(1.869751,-2.399117)
(1.936874,-2.162102)
(1.970586,-1.920302)
(1.970829,-1.678723)
(1.938306,-1.442263)
(1.874391,-1.215566)
(1.781127,-1.003083)
(1.661146,-0.808796)
(1.517643,-0.636259)
(1.354239,-0.488435)
(1.174907,-0.367775)
(0.983936,-0.276030)
(0.785741,-0.214318)
(0.584887,-0.183121)
(0.385820,-0.182173)
(0.192907,-0.210615)
(0.010368,-0.266939)
(-0.158014,-0.349071)
(-0.308721,-0.454412)
(-0.438741,-0.579892)
(-0.545553,-0.722063)
(-0.627185,-0.877186)
(-0.682265,-1.041298)
(-0.710016,-1.210310)
(-0.710280,-1.380087)
(-0.683500,-1.546574)
(-0.630719,-1.705829)
(-0.553537,-1.854183)
(-0.454069,-1.988234)
(-0.334851,-2.104953)
(-0.198874,-2.201756)
(-0.049383,-2.276561)
(0.110054,-2.327770)
(0.275750,-2.354362)
(0.443949,-2.355887)
(0.610861,-2.332426)
(0.772792,-2.284646)
(0.926232,-2.213714)
(1.067890,-2.121304)
(1.194761,-2.009592)
(1.304275,-1.881088)
(1.394219,-1.738658)
(1.462908,-1.585478)
(1.509055,-1.424849)
(1.532004,-1.260245)
(1.531546,-1.095199)
(1.508022,-0.933143)
(1.462237,-0.777444)
(1.395565,-0.631320)
(1.309736,-0.497624)
(1.206935,-0.379029)
(1.089651,-0.277754)
(0.960715,-0.195621)
(0.823139,-0.134022)
(0.680120,-0.093916)
(0.534880,-0.075675)
(0.390703,-0.079287)
(0.250788,-0.104201)
(0.118212,-0.149417)
(-0.004186,-0.213469)
(-0.113777,-0.294553)
(-0.208285,-0.390485)
(-0.285798,-0.498739)
(-0.344776,-0.616620)
(-0.384127,-0.741185)
(-0.403204,-0.869437)
(-0.401818,-0.998275)
(-0.380253,-1.124673)
(-0.339222,-1.245722)
(-0.279862,-1.358555)
(-0.203694,-1.460631)
(-0.112635,-1.549626)
(-0.008856,-1.623557)
(0.105163,-1.680792)
(0.226749,-1.720076)
(0.353126,-1.740600)
(0.481428,-1.741964)
(0.608729,-1.724199)
(0.732252,-1.687765)
(0.849222,-1.633523)
(0.957135,-1.562751)
(1.053654,-1.477068)
(1.136759,-1.378399)
(1.204729,-1.268963)
(1.256189,-1.151182)
(1.290163,-1.027598)
(1.306075,-0.900979)
(1.303768,-0.774001)
(1.283460,-0.649393)
(1.245772,-0.529776)
(1.191728,-0.417695)
(1.122718,-0.315397)
(1.040413,-0.224976)
(0.946787,-0.148225)
(0.844047,-0.086609)
(0.734569,-0.041220)
(0.620878,-0.012807)
(0.505550,-0.001744)
(0.391176,-0.007991)
(0.280307,-0.031118)
(0.175388,-0.070350)
(0.078741,-0.124549)
(-0.007603,-0.192223)
(-0.081760,-0.271678)
(-0.142186,-0.360870)
(-0.187677,-0.457631)
(-0.217330,-0.559628)
(-0.230606,-0.664397)
(-0.227404,-0.769486)
(-0.207890,-0.872424)
(-0.172656,-0.970821)
(-0.122644,-1.062423)
(-0.059068,-1.145119)
(0.016509,-1.217044)
