(183.45,0)
(258.025,0.814022)
(-259.903,-165.528)
(-49.6963,-51.1334)
(15.1358,-98.9626)
(-11.7004,-9.31222)
(61.6625,-11.4772)
(2.64382,-9.01478)
(38.1659,-69.1726)
(33.076,42.2448)
(5.65497,1.11181)
(68.1544,-21.2461)
(-14.8637,-7.48752)
(-10.1278,-33.765)
(85.4365,65.6346)
(2.97166,3.50238)
(50.7168,-30.7771)
(5.04941,48.3755)
(0.539949,9.0565)
(52.0065,15.0809)
(-11.3082,3.57627)
(6.6331,39.8385)
(-2.84453,3.10834)
(39.254,12.4263)
(-25.3116,23.7194)
(-5.31617,1.95087)
(15.5434,29.417)
(-3.39003,-13.1403)
(14.4626,-18.3411)
(14.4385,-19.9454)
(-29.6148,77.7338)
(-3.05807,-0.0922167)
(15.65,10.2787)
(-16.1996,4.99968)
(-4.55087,-0.598864)
(0.0932882,11.9693)
(-4.9441,-5.16753)
(-4.76816,0.758929)
(-1.48401,-2.25773)
(-0.0169865,2.6968)
(-2.35947,-3.88288)
(-0.972453,-2.71794)
(-0.0862283,-3.45182)
(-1.55833,-4.53922)
(-2.84683,-3.90789)
(16.4963,-1.15421)
(1.07974,-1.29881)
(3.47697,-9.34118)
(7.40146,4.29906)
(1.70782,-0.176979)
(12.0541,-6.41621)
(-0.428116,-0.259726)
(11.4653,8.38515)
(0.761666,0.41557)
(14.1281,-6.35161)
(0.0756301,12.5343)
(-0.0625356,0.704156)
(15.3665,4.14912)
(-2.89292,-6.36168)
(0.364249,-15.5292)
(-1.44222,-17.3397)
(18.5419,56.0102)
(-0.304672,1.39715)
(15.676,-0.982185)
(-5.62436,12.3059)
(-1.60506,2.15818)
(10.5741,10.1385)
(-3.78596,-0.7037)
(-3.74652,10.6227)
(-1.57233,0.228312)
(7.83544,7.68787)
(-9.60456,2.57239)
(-2.15493,-0.302565)
(-0.388985,8.71457)
(-0.794902,-3.53008)
(2.67464,-1.65534)
(-6.6151,5.05718)
(-0.826707,-0.958243)
(1.56687,3.28241)
(-3.27507,-1.65494)
(-0.848336,-1.23402)
(-0.838766,0.492136)
(-0.592561,-2.37015)
(1.84043,-0.690127)
(0.135905,-0.994373)
(1.3028,-2.52658)
(1.74682,0.837455)
(0.134697,-0.996125)
(4.20373,-2.64769)
(-1.6039,-3.17383)
(-3.56219,-6.32114)
(-5.21021,-6.88607)
(23.7091,15.032)
(0.907201,0.282653)
(6.54186,-5.6175)
(2.98778,6.88043)
(0.765022,1.16673)
(10.1607,0.551588)
(-1.02346,0.449798)
(3.78382,8.97059)
(-0.0876047,0.867469)
(10.038,1.14377)
(-4.38401,7.58427)
(-0.735527,1.01565)
(6.604,7.7806)
(-0.694464,-2.60255)
